INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
20;12.01.2016 0:00:00;1;630000;32443
21;12.01.2016 0:00:00;1;630000;31445
22;12.01.2016 0:00:00;1;630000;30920
23;12.01.2016 0:00:00;1;630000;30588
0;13.01.2016 0:00:00;1;630000;30192
1;13.01.2016 0:00:00;1;630000;29942
2;13.01.2016 0:00:00;1;630000;30115
3;13.01.2016 0:00:00;1;630000;30455
4;13.01.2016 0:00:00;1;630000;31872
5;13.01.2016 0:00:00;1;630000;33110
6;13.01.2016 0:00:00;1;630000;34272
7;13.01.2016 0:00:00;1;630000;34497
8;13.01.2016 0:00:00;1;630000;34230
9;13.01.2016 0:00:00;1;630000;34200
10;13.01.2016 0:00:00;1;630000;33963
11;13.01.2016 0:00:00;1;630000;34098
12;13.01.2016 0:00:00;1;630000;33911
13;13.01.2016 0:00:00;1;630000;33856
14;13.01.2016 0:00:00;1;630000;34442
15;13.01.2016 0:00:00;1;630000;35082
16;13.01.2016 0:00:00;1;630000;34835
17;13.01.2016 0:00:00;1;630000;34537
18;13.01.2016 0:00:00;1;630000;34253
19;13.01.2016 0:00:00;1;630000;33689
20;13.01.2016 0:00:00;1;630000;32517
21;13.01.2016 0:00:00;1;630000;31728
22;13.01.2016 0:00:00;1;630000;31198
23;13.01.2016 0:00:00;1;630000;30495
0;14.01.2016 0:00:00;1;630000;30117
1;14.01.2016 0:00:00;1;630000;30233
2;14.01.2016 0:00:00;1;630000;30365
3;14.01.2016 0:00:00;1;630000;30752
4;14.01.2016 0:00:00;1;630000;31814
5;14.01.2016 0:00:00;1;630000;32929
6;14.01.2016 0:00:00;1;630000;33995
7;14.01.2016 0:00:00;1;630000;34301
8;14.01.2016 0:00:00;1;630000;34160
9;14.01.2016 0:00:00;1;630000;33722
10;14.01.2016 0:00:00;1;630000;33578
11;14.01.2016 0:00:00;1;630000;33508
12;14.01.2016 0:00:00;1;630000;33338
13;14.01.2016 0:00:00;1;630000;33598
14;14.01.2016 0:00:00;1;630000;33979
15;14.01.2016 0:00:00;1;630000;34710
16;14.01.2016 0:00:00;1;630000;34663
17;14.01.2016 0:00:00;1;630000;34352
18;14.01.2016 0:00:00;1;630000;34066
19;14.01.2016 0:00:00;1;630000;33623
20;14.01.2016 0:00:00;1;630000;32651
21;14.01.2016 0:00:00;1;630000;31694
22;14.01.2016 0:00:00;1;630000;30855
23;14.01.2016 0:00:00;1;630000;30534
0;15.01.2016 0:00:00;1;630000;30328
1;15.01.2016 0:00:00;1;630000;30244
2;15.01.2016 0:00:00;1;630000;30108
3;15.01.2016 0:00:00;1;630000;30707
4;15.01.2016 0:00:00;1;630000;32054
5;15.01.2016 0:00:00;1;630000;33374
6;15.01.2016 0:00:00;1;630000;34144
7;15.01.2016 0:00:00;1;630000;34340
8;15.01.2016 0:00:00;1;630000;34381
9;15.01.2016 0:00:00;1;630000;34001
10;15.01.2016 0:00:00;1;630000;33752
11;15.01.2016 0:00:00;1;630000;33883
12;15.01.2016 0:00:00;1;630000;33890
13;15.01.2016 0:00:00;1;630000;34034
14;15.01.2016 0:00:00;1;630000;34182
15;15.01.2016 0:00:00;1;630000;34816
16;15.01.2016 0:00:00;1;630000;34649
17;15.01.2016 0:00:00;1;630000;34320
18;15.01.2016 0:00:00;1;630000;34142
